0,USL-2017,United Soccer League,United States
1,51772,FC Cincinnati,USL-2017,60
2,175618,Evan Newton,1988-04-01,Virginia Beach Virginia,United States,188,United States,N/A,GK,51772,1,225000
2,367539,Mark Village,1991-11-25,Abbotsford British Columbia,Canada,188,Canada,N/A,GK,51772,17,68000
2,223864,Pa Konate,1994-04-25,Malmö,Sweden,178,Guinea,Sweden,LB,51772,12,270000
2,24476,Dekel Keinan,1984-09-15,Rosh haNikra,Israel,185,Israel,N/A,CB,51772,21,225000
2,243641,Sem de Wit,1995-03-30,Harderwijk,Netherlands,181,Netherlands,N/A,CB,51772,51,158000
2,122736,Paddy Barrett,1993-07-22,Waterford,Ireland,182,Ireland,N/A,CB,51772,29,90000
2,141216,Corben Bone,1988-09-16,Plano Texas,United States,175,United States,N/A,CM,51772,19,315000
2,213025,Kenney Walker,1988-12-23,Wickliffe Ohio,United States,175,United States,N/A,DM,51772,6,248000
2,210368,Jimmy McLaughlin,1993-04-30,Bryn Mawr Pennsylvania,United States,173,United States,N/A,CM,51772,20,248000
2,4133,Richie Ryan,1985-01-06,Tipperary,Ireland,178,Ireland,N/A,DM,51772,16,225000
2,343835,Tyler Gibson,1991-12-01,Knoxville Tennessee,United States,173,United States,N/A,CM,51772,4,68000
2,62247,Emmanuel Ledesma,1988-05-24,Quilmes,Argentina,180,Argentina,Italy,CF,51772,45,540000
2,255747,Daniel Haber,1992-04-04,Toronto Ontario,Canada,184,Canada,N/A,RW,39151,-1,248000
2,61499,Tomi Ameobi,1988-08-16,Newcastle upon Tyne,England,185,England,Nigeria,CF,51772,24,135000
2,131190,Spencer Richey,1992-05-30,Seattle Washington,United States,185,United States,N/A,GK,51772,18,135000
2,367070,Forrest Lasso,1993-05-11,Raleigh North Carolina,United States,196,United States,N/A,CB,51772,3,270000
2,255927,Blake Smith,1991-01-17,El Paso Texas,United States,179,United States,N/A,LB,51772,23,248000
2,265678,Matt Bahner,1990-03-12,West Chester Ohio,United States,183,United States,N/A,RB,51772,2,180000
2,7335,Justin Hoyte,1984-11-20,London,England,180,Trinidad and Tobago,England,RB,51772,32,135000
2,268280,Fatai Alashe,1993-10-21,Southfield Michigan,United States,183,United States,Nigeria,DM,51772,27,585000
2,308162,Nazmi Albadawi,1991-08-24,Raleigh North Carolina,United States,180,United States,N/A,AM,51772,5,270000
2,105988,Michael Lahoud,1986-09-15,Freetown,Sierra Leone,173,Sierra Leone,United States,CM,51772,13,248000
2,111924,Lance Laing,1988-02-28,Trelawny,Jamaica,183,Jamaica,N/A,LM,52910,-1,225000
2,266165,Will Seymore,1992-02-29,Soham,England,180,United States,England,CM,54716,-1,113000
2,79654,Fanendo Adi,1990-10-10,Lagos,Nigeria,193,Nigeria,N/A,CF,51772,9,1800000
2,23496,Danni König,1986-12-17,Tingbjerg,Denmark,188,Denmark,N/A,CF,51772,11,270000
2,255921,Emery Welshman,1991-11-09,Mississauga Ontario,Canada,180,Guyana,Canada,CF,51772,10,180000
2,495896,Russell Cicerone,1994-11-17,Bloomfield Hills Michigan,United States,178,United States,N/A,RW,51772,7,113000
1,4290,Pittsburgh Riverhounds SC,USL-2017,49
2,439721,Dan Lynd,1994-03-04,Penfield New York,United States,193,United States,N/A,GK,4290,33,180000
2,418368,Nathan Ingham,1993-06-27,Keswick Ontario,Canada,188,Canada,N/A,GK,4290,29,90000
2,488393,Jordan Dover,1994-12-14,Ajax Ontario,Canada,173,Canada,N/A,RB,4290,5,180000
2,354843,Raymond Lee,1993-04-26,Kansas City Missouri,United States,180,United States,N/A,LB,4290,3,158000
2,481354,Tobi Adewole,1995-10-14,Cheverly Maryland,United States,188,United States,N/A,CB,4290,2,135000
2,492054,Connor Maloney,1995-05-17,Harrisburg Pennsylvania,United States,167,United States,N/A,RB,813,-1,90000
2,212235,Kenardo Forbes,1988-05-15,Kingston,Jamaica,175,Jamaica,N/A,CM,4290,11,225000
2,285919,Mouhamed Dabo,1996-01-02,Mbediene,Senegal,176,Senegal,N/A,DM,4290,21,135000
2,482614,Joe Holland,1993-04-20,Birmingham,England,178,England,N/A,AM,4290,4,113000
2,479714,Ben Fitzpatrick,1994-12-15,Hilliard Ohio,United States,175,United States,N/A,M,4290,44,90000
2,576041,Noah Franke,1995-03-25,Orlando Florida,United States,173,United States,N/A,RM,4290,14,45000
2,309512,Christiano François,1993-07-17,Cabaret,Haiti,170,Haiti,N/A,RW,4290,7,158000
2,475373,Kay Banjo,1992-12-03,Washington DC,United States,183,United States,N/A,CF,4290,17,90000
2,499139,Michael Kirk,1994-02-12,Mechanicsburg Pennsylvania,United States,183,United States,N/A,GK,4290,22,90000
2,492951,Kyle Morton,1994-03-31,West Chester Pennsylvania,United States,193,United States,N/A,GK,4290,1,68000
2,316230,Hugh Roberts,1992-09-27,Olney Maryland,United States,193,United States,N/A,CB,4290,6,180000
2,497677,Todd Pratzner,1994-08-10,Lancaster Pennsylvania,United States,183,United States,N/A,CB,4290,23,158000
2,355585,Joe Greenspan,1992-09-12,Westfield New Jersey,United States,198,United States,N/A,CB,4290,20,113000
2,47296,Kevin Kerr,1989-01-12,Münster,Germany,178,Scotland,Germany,CM,4290,10,270000
2,146818,Ben Zemanski,1988-05-12,Akron Ohio,United States,180,United States,N/A,DM,4290,13,180000
2,573118,Thomas Vancaeyezeele,1994-07-27,Caen,France,170,France,N/A,CM,4290,25,135000
2,396959,Andrew Lubahn,1991-09-10,Erie Pennsylvania,United States,186,United States,N/A,AM,4290,16,113000
2,569959,Bakie Goodman,1995-02-28,Sarasota Florida,United States,175,United States,N/A,DM,4290,8,45000
2,372933,Neco Brett,1992-03-22,Kingston,Jamaica,172,Jamaica,N/A,CF,4290,9,180000
2,259401,Romeo Parkes,1990-11-11,Port Maria,Jamaica,192,Jamaica,N/A,CF,4290,27,158000
2,152483,Dennis Chin,1987-06-04,Kingston,Jamaica,191,United States,Jamaica,CF,4290,15,68000
1,4115,Charleston Battery,USL-2017,48
2,188457,Odisnel Cooper,1992-03-31,Camagüey,Cuba,188,Cuba,N/A,GK,4115,23,180000
2,369346,Robert Beebe,1992-09-23,Summerville South Carolina,United States,193,United States,N/A,GK,4115,16,45000
2,354585,Neveal Hackshaw,1995-09-21,Arima,Trinidad and Tobago,183,Trinidad and Tobago,N/A,CB,4115,8,180000
2,77885,OBrian Woodbine,1988-01-11,N/A,N/A,183,Jamaica,N/A,RB,4115,7,135000
2,354580,Leland Archer,1996-01-08,Port of Spain,Trinidad and Tobago,193,Trinidad and Tobago,N/A,CB,4115,6,45000
2,180032,Jarad van Schaik,1988-12-11,Portland Oregon,United States,185,United States,Puerto Rico,LM,4115,14,158000
2,272851,Dante Marini,1992-07-21,Chadds Ford Pennsylvania,United States,160,United States,Italy,AM,4115,19,135000
2,349133,Victor Mansaray,1997-02-22,Freetown,Sierra Leone,180,United States,Sierra Leone,RM,4115,20,113000
2,496610,Ryan Arambula,1993-12-19,Myrtle Beach South Carolina,United States,173,United States,N/A,DM,4115,18,68000
2,423453,Ian Svantesson,1993-08-31,Orlando Florida,United States,198,United States,N/A,LW,4115,9,180000
